DEPTH,BV1,BV2,"""""VOCC_LAB[32]"[64]"[96]"[105]",CLOSURE,COLOR_PRT,G1,G2,MODE,"""""C_LAB[32]"[64]"[96]"[105]",PD1,PD2,PERMEABILITY,POROSITY,PRT,R35,ROCK_TYPE,SAMPLE
FEET,%,%,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,ALPHA*16,"","",MICRONS,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,MD,%,"",MICRONS,ALPHA*16,""
57,12.9497,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00271192,0.150481,0.663001,1.39368,2.17671,2.9302,3.62334,4.24879,4.80898,5.30984,5.75819,6.1606,6.52298,6.85051,7.14764,7.41818,7.66537,7.89201,8.10046,8.29277,8.4707,8.63575,8.78927,8.93238,9.0661,9.19131,9.30879,9.41922,9.52321,9.62131,9.71399,9.80168,9.88479,9.96364,10.0386,10.1099,10.1777,10.2425,10.3043,10.3634,10.4198,10.4739,10.5258,10.5755,10.6232,10.6691,0.506887,YELLOW,0.439098,-999.25,0.36092,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,357.851,-999.25,20.65,10.5,2,3.59848,Meso,57.0000
58,11.6978,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00102658,1.77482,4.2321,5.83254,6.89205,7.63478,8.18156,8.59997,8.93007,9.19698,9.41716,9.60186,9.75898,9.89425,10.0119,10.1152,10.2066,10.288,10.3611,10.4269,10.4866,10.5409,10.5906,10.6362,10.6781,10.7169,10.7529,10.7863,10.8175,10.8465,10.8738,10.8993,10.9233,10.9459,10.9673,10.9874,11.0065,11.0246,11.0417,11.058,11.0735,11.0883,11.1024,11.1159,11.1288,11.1411,11.1529,11.1642,11.175,11.1854,11.1954,11.2051,11.2143,11.2233,11.2319,11.2402,11.2482,11.2559,11.2634,11.2706,11.2776,11.2843,11.2909,11.2972,11.3034,11.3093,11.3151,11.3207,11.3262,11.3315,11.3367,0.493113,CYAN,0.108676,-999.25,8.16795,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,23.122,-999.25,24.94,11.6,1,3.65459,Macro,58.0000
59,38.3295,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.0272068,0.766307,2.64181,5.02469,7.44929,9.71859,11.7715,13.6039,15.2327,16.681,17.9721,19.1272,20.1646,21.1004,21.9478,22.7183,23.4215,24.0655,24.6573,25.2028,25.7072,26.1748,26.6095,27.0145,27.3928,27.7469,28.079,28.391,28.6848,28.9618,29.2235,29.471,29.7055,29.928,30.1394,30.3405,30.5319,30.7145,30.8887,31.0552,31.2144,31.3668,31.5129,31.6529,31.7874,31.9165,32.0407,32.1602,32.2752,32.386,32.4929,32.596,32.6955,32.7916,32.8845,32.9744,33.0613,33.1455,33.227,33.306,33.3826,33.4569,33.5291,33.5991,33.6671,33.7332,33.7974,33.8599,33.9206,33.9798,34.0373,34.0934,34.1481,34.2013,34.2532,34.3038,34.3532,0.879421,CYAN,0.416326,-999.25,12.6618,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,10.471,-999.25,151.28,34.14,1,3.793,Macro,59.0000
60,27.9376,6.93022,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.0961895,1.47838,3.84761,6.26061,8.40779,10.2463,11.8077,13.1372,14.2766,15.2607,16.1173,16.8688,17.5326,18.1228,18.6508,19.1257,19.555,19.9449,20.3005,20.6261,20.9253,21.2011,21.4562,21.6928,21.9128,22.118,22.3097,22.4892,22.6577,22.8161,22.9653,23.1061,23.2391,23.3651,23.4835,23.5968,23.7046,23.8071,23.9048,23.998,24.0869,24.172,24.2534,24.3313,24.4061,24.4778,24.5466,24.6128,24.6764,24.7376,24.7966,24.8535,24.9083,24.9613,25.0124,25.0618,25.1095,25.1557,25.2004,25.2437,25.2856,25.3263,25.3657,25.404,25.4412,25.4772,25.5123,25.5463,25.5795,25.6117,25.643,25.6736,25.7033,25.7323,25.7605,25.7881,25.8149,25.8411,25.8667,25.8917,25.9162,25.94,25.9634,0.395578,CYAN,0.3,0.0814182,28.2848,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,5.358,284.804,132,32.72,1,3.65654,Macro,60.0000
61,36.4284,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.661589,4.0488,8.02325,11.4908,14.3381,16.6602,18.5691,20.1571,21.4946,22.6342,23.6156,24.4689,25.2172,25.8784,26.4667,26.9935,27.4677,27.8969,28.2871,28.6434,28.9699,29.2703,29.5475,29.8041,30.0423,30.2641,30.471,30.6645,30.8459,31.0162,31.1765,31.3276,31.4702,31.6051,31.7329,31.854,31.9691,32.0786,32.1828,32.2822,32.377,32.4675,32.5542,32.6371,32.7165,32.7927,32.8659,32.9361,33.0036,33.0686,33.1312,33.1914,33.2496,33.3056,33.3597,33.412,33.4626,33.5114,33.5587,33.6045,33.6488,33.6918,33.7335,33.7739,33.8131,33.8512,33.8882,33.9241,33.9591,33.993,34.0261,34.0583,34.0896,34.1201,34.1498,34.1788,34.207,34.2346,0.326199,CYAN,0.239373,-999.25,17.4847,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,9.294,-999.25,160.2,34.17,1,3.90876,Macro,61.0000
62,39.956,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0154994,1.10733,3.93474,7.20953,10.279,12.9758,15.2994,17.2957,19.0166,20.509,21.812,22.9574,23.9709,24.8733,25.6813,26.4086,27.0666,27.6644,28.21,28.7096,29.169,29.5925,29.9844,30.3479,30.686,31.0013,31.2959,31.5719,31.8309,32.0745,32.3039,32.5204,32.7251,32.9188,33.1025,33.2768,33.4425,33.6002,33.7505,33.8939,34.0308,34.1616,34.2868,34.4068,34.5218,34.6321,34.738,34.8398,34.9377,35.032,35.1228,35.2103,35.2947,35.3761,35.4548,35.5308,35.6042,35.6753,35.7441,35.8108,35.8753,35.9379,35.9986,36.0575,36.1146,36.1701,36.2241,36.2765,36.3275,36.377,36.4253,36.4722,36.518,36.5625,36.6059,36.6482,36.6895,0.296215,CYAN,0.322821,-999.25,13.5786,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,10.873,-999.25,161.37,35.2,1,3.82469,Macro,62.0000
63,21.8673,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00152598,0.162058,0.89897,2.05528,3.34368,4.6072,5.7817,6.84821,7.80727,8.66709,9.43822,10.1313,10.756,11.3211,11.834,12.3012,12.7283,13.1199,13.4802,13.8127,14.1203,14.4058,14.6712,14.9187,15.15,15.3666,15.5698,15.7608,15.9407,16.1104,16.2707,16.4224,16.5662,16.7026,16.8322,16.9556,17.073,17.185,17.2919,17.3941,17.4918,17.5854,17.675,17.761,17.8436,17.9229,17.9992,18.0726,18.1432,18.2113,18.2769,18.3403,18.4014,18.4605,18.5176,18.5728,18.6262,18.678,18.7281,18.7766,18.8237,18.8694,18.9137,18.9568,18.9986,19.0392,19.0787,19.1171,19.1545,19.1908,19.2262,19.2607,19.2943,19.3271,19.359,19.3901,19.4205,19.4501,19.479,0.453998,CYAN,0.449382,-999.25,14.7762,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,8.638,-999.25,67,19.7,1,3.93559,Macro,63.0000
64,20.9198,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.354974,3.91863,7.29216,9.69765,11.4224,12.7026,13.6851,14.4609,15.0882,15.6054,16.039,16.4075,16.7245,17.0001,17.2419,17.4556,17.646,17.8165,17.9702,18.1095,18.2362,18.352,18.4582,18.556,18.6464,18.7301,18.8078,18.8803,18.9479,19.0112,19.0706,19.1264,19.1789,19.2285,19.2753,19.3195,19.3615,19.4013,19.4392,19.4752,19.5095,19.5422,19.5734,19.6032,19.6318,19.6591,19.6853,19.7105,19.7346,19.7578,19.7801,19.8016,19.8222,19.8422,19.8614,19.8799,19.8978,19.9151,19.9318,19.948,19.9637,19.9788,19.9935,20.0077,20.0216,20.0349,20.0479,20.0606,20.0728,20.0848,20.0963,20.1076,20.1186,0.085746,CYAN,0.14,-999.25,10.4915,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,17.364,-999.25,80,19.1,1,4.44682,Macro,64.0000
65,37.0603,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00100001,0.00700788,0.161234,0.710704,1.66013,2.87386,4.21918,5.60333,6.96956,8.28596,9.53635,10.714,11.8176,12.8491,13.812,14.7107,15.5497,16.3337,17.0669,17.7536,18.3975,19.0021,19.5707,20.1061,20.611,21.0878,21.5386,21.9654,22.37,22.7541,23.119,23.4662,23.7969,24.1122,24.4131,24.7006,24.9755,25.2387,25.4908,25.7325,25.9644,26.1871,26.4012,26.6071,26.8053,26.9962,27.1801,27.3576,27.5288,27.6941,27.8538,28.0083,28.1576,28.3022,28.4421,28.5777,28.7092,28.8366,28.9602,29.0802,29.1967,29.3098,29.4198,29.5267,29.6307,29.7318,29.8303,29.9261,30.0195,30.1105,30.1991,30.2855,30.3698,30.452,30.5322,30.6105,30.687,30.7617,30.8346,30.9059,30.9756,31.0437,31.1103,31.1754,31.2392,31.3016,0.676918,CYAN,0.712593,-999.25,23.5901,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,3.997,-999.25,167.32,30.17,1,4.4557,Macro,65.0000
66,16.5501,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00132903,0.160779,0.864563,1.89892,2.99515,4.03192,4.97007,5.80458,6.54294,7.1963,7.77599,8.2923,8.75418,9.16921,9.54378,9.88329,10.1922,10.4745,10.7332,10.9712,11.1907,11.3939,11.5824,11.7578,11.9214,12.0743,12.2175,12.3519,12.4782,12.5973,12.7096,12.8158,12.9162,13.0115,13.1019,13.1878,13.2696,13.3475,13.4218,13.4927,13.5606,13.6254,13.6876,13.7471,13.8043,13.8592,13.9119,13.9626,14.0114,14.0584,14.1037,14.1473,14.1895,14.2302,14.2695,14.3075,14.3443,14.3799,14.4143,14.4477,14.4801,14.5115,14.5419,14.5715,14.6002,14.628,14.6551,14.6815,14.7071,14.732,14.7563,14.7799,14.8029,14.8253,14.8472,0.054426,CYAN,0.4,-999.25,9.81892,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,13.759,-999.25,53.04,15.1,1,4.36718,Macro,66.0000
67,17.2776,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00100026,1.10319,3.89523,6.2222,7.94411,9.22966,10.2152,10.991,11.6159,12.1294,12.5584,12.9219,13.2339,13.5044,13.7411,13.95,14.1358,14.3019,14.4514,14.5867,14.7096,14.8218,14.9247,15.0193,15.1066,15.1874,15.2624,15.3322,15.3974,15.4583,15.5155,15.5691,15.6196,15.6672,15.7121,15.7546,15.7949,15.8331,15.8694,15.9038,15.9367,15.968,15.9979,16.0265,16.0538,16.0799,16.105,16.129,16.1521,16.1742,16.1955,16.216,16.2358,16.2548,16.2731,16.2908,16.3079,16.3244,16.3403,16.3558,16.3707,16.3851,16.3991,16.4127,16.4259,16.4386,16.451,16.463,16.4747,16.4861,16.4971,16.5078,16.5183,16.5284,0.093134,CYAN,0.16,-999.25,10.8308,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,16.438,-999.25,70.1,15.8,1,4.87929,Macro,67.0000
68,9.41401,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00100706,0.224373,1.09039,2.07041,2.92995,3.64263,4.22905,4.71475,5.12131,5.46549,5.76002,6.0146,6.23664,6.43187,6.60481,6.75901,6.89732,7.02206,7.13511,7.23803,7.33211,7.41844,7.49793,7.57136,7.6394,7.70261,7.76149,7.81647,7.86792,7.91617,7.96151,8.00419,8.04445,8.08247,8.11845,8.15253,8.18488,8.21561,8.24485,8.27269,8.29925,8.3246,8.34882,8.37199,8.39418,8.41545,8.43584,8.45543,8.47424,8.49233,8.50974,8.52651,8.54267,8.55825,8.57328,8.5878,8.60182,8.61538,8.62849,8.64118,8.65347,8.66537,8.67691,8.68809,8.69895,8.70948,8.71971,8.72965,8.7393,8.74869,8.75782,8.76671,8.77536,8.78378,8.79198,8.79997,8.80776,8.81535,0.10837,CYAN,0.250775,-999.25,15.6701,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,10.235,-999.25,26.41,8.8,1,4.78496,Macro,68.0000
