DEPT [FEET],PHIT [V/V],PERM [MD],G1 [],G2 [],PD1 [PSI],PD2 [PSI],BV1 [%],BV2 [%]
8604.0,0.07382987,0.25000677,0.6682824,0.1,566.58966,650.0,8.942966,0.0
8604.5,0.07599828,0.33001933,0.38062817,0.1,309.2366,650.0,8.106804,0.0
8605.0,0.072581366,0.2500102,0.66058254,0.1,576.9409,650.0,8.907674,0.0
8605.5,0.08876663,0.18000798,0.48485473,0.1,350.01532,650.0,9.206462,0.0
8606.0,0.11038454,0.19000046,0.409756,0.1,242.27782,650.0,14.66615,0.0
8606.5,0.12960365,0.20000064,0.3420357,0.1,218.95354,650.0,15.532865,0.0
8607.0,0.15516128,0.38000163,0.20616814,0.1,187.06831,650.0,17.127571,0.0
8607.5,0.16677353,0.63000596,0.21151376,0.1,166.44107,650.0,18.950756,0.0
8608.0,0.1751576,0.8300148,0.1871865,0.1,176.7169,650.0,20.417408,0.0
8608.5,0.17600212,1.0200199,0.17131668,0.1,159.73653,650.0,20.311632,0.0
8609.0,0.17600212,1.159984,0.16915233,0.1,157.20772,650.0,20.259289,0.0
8609.5,0.17600212,1.2999812,0.18651003,0.1,141.68967,650.0,20.476274,0.0
8610.0,0.17600212,1.299987,0.18650983,0.1,141.68967,650.0,20.476269,0.0
8610.5,0.17600212,1.2699943,0.18760124,0.1,141.65643,650.0,20.50399,0.0
8611.0,0.17430484,1.1999973,0.21298964,0.1,148.94777,650.0,19.990637,0.0
8611.5,0.17430484,1.130003,0.21576566,0.1,149.69347,650.0,19.992794,0.0
8612.0,0.15291229,0.8300008,0.25776315,0.1,141.88567,650.0,18.093943,0.0
8612.5,0.1349073,0.42999718,0.34228587,0.1,141.1993,650.0,16.051083,0.0
8613.0,0.118951276,0.3399925,0.34162742,0.1,148.72011,650.0,15.360251,0.0
8613.5,0.11834278,0.20124912,0.38912833,0.1,230.88162,650.0,15.013229,0.0
8614.0,0.117928796,0.22449726,0.3887161,0.1,225.98012,650.0,15.024669,0.0
8614.5,0.117928796,0.22449726,0.3887161,0.1,225.98012,650.0,15.024669,0.0
8615.0,0.11834278,0.20124912,0.38912833,0.1,230.88162,650.0,15.013229,0.0
8615.5,0.09324079,0.13000222,0.38088927,0.1,406.1048,650.0,11.380717,0.0
8616.0,0.073499076,0.11999876,0.8284254,0.1,647.4729,650.0,10.118013,0.0
8616.5,0.058861103,0.10999712,2.1605067,0.1,682.0637,650.0,14.291144,0.0
8617.0,0.04632089,0.06323308,3.0108666,0.1,627.3857,650.0,16.580727,0.0
8617.5,0.04527162,0.049994778,3.3483527,0.1,552.1035,650.0,17.4931,0.0
8618.0,0.032020215,0.30199596,2.53056,0.1,1582.8715,650.0,18.088936,0.0
8618.5,0.032020215,0.30199596,2.53056,0.1,1582.8715,650.0,18.088936,0.0
8619.0,0.035034817,0.33975554,1.8833368,0.1,1184.3744,650.0,14.66826,0.0
8619.5,0.03423213,2.2491572,1.4483458,0.1,27.054228,650.0,14.094827,0.0
8620.0,0.035034817,0.33975554,1.8833368,0.1,1184.3744,650.0,14.66826,0.0
8620.5,0.044363696,0.31361791,1.1686186,0.1,796.22455,650.0,11.071766,0.0
8621.0,0.04585668,0.02003682,4.6263175,0.1,311.39352,650.0,21.131168,0.0
8621.5,0.047887966,0.03464125,3.7666256,0.1,455.1417,650.0,18.652454,0.0
8622.0,0.047887966,0.03464125,3.7666256,0.1,455.1417,650.0,18.652454,0.0
8622.5,0.04632089,0.06323308,3.0108666,0.1,627.3857,650.0,16.580727,0.0
8623.0,0.044639308,0.040008914,3.7328615,0.1,476.69073,650.0,18.576834,0.0
8623.5,0.04437395,0.030525282,4.284623,0.1,383.8931,650.0,20.205196,0.0
8624.0,0.035034817,0.33975554,1.8833368,0.1,1184.3744,650.0,14.66826,0.0
8624.5,0.03556898,0.010001444,3.2707,0.1,290.98117,650.0,15.405131,0.0
8625.0,0.032610632,0.099496454,2.7599924,0.1,725.5682,650.0,15.640664,0.0
8625.5,0.032610632,0.099496454,2.7599924,0.1,725.5682,650.0,15.640664,0.0
8626.0,0.022543645,0.069997005,3.0512924,0.1,603.2119,650.0,16.13921,0.0
8626.5,0.019458294,0.020006083,3.2991803,0.1,349.31955,650.0,15.812893,0.0
8627.0,0.021411475,0.13995732,2.6292803,0.1,841.2921,650.0,15.590614,0.0
8627.5,0.0036938346,0.42846823,2.2528012,0.1,735.9769,650.0,14.535019,0.0
8628.0,0.0036938346,0.42846823,2.2528012,0.1,735.9769,650.0,14.535019,0.0
